done,model,encoder,axis,epochs,batch
no,linknet,resnet50,0,100,8
no,linknet,inceptionv4,0,100,4
no,pspnet,resnet50,0,100,8
no,pspnet,inceptionv4,0,100,4
no,fpn,resnet50,0,100,8
no,fpn,inceptionv4,0,100,4
no,unet,resnet50,0,100,8
no,unet,inceptionv4,0,100,4
yes,convnet,gen4,0,100,8
yes,fpn,resnet34,0,100,8
yes,fpn,resnet50,0,100,8
yes,fpn,se_resnet50,0,100,4
yes,fpn,inceptionv4,0,100,8
yes,fpn,densenet121,0,100,4
yes,fpn,densenet169,0,100,4
yes,fpn,mobilenet_v2,0,100,4
yes,unet,resnet34,0,100,8
yes,unet,resnet50,0,100,8
yes,unet,se_resnet50,0,100,4
yes,unet,inceptionv4,0,100,8
yes,unet,densenet121,0,100,4
yes,unet,densenet169,0,100,4
yes,unet,mobilenet_v2,0,100,4
yes,fpn,resnet50,0,100,8
yes,fpn,xception,0,100,8
yes,fpn,inceptionv4,0,100,8
yes,fpn,vgg11,0,100,8
yes,fpn,vgg16,0,100,8
yes,unet,resnet50,0,100,8
yes,unet,xception,0,100,4
yes,unet,inceptionv4,0,100,8
yes,unet,vgg11,0,100,8
yes,unet,vgg16,0,100,8
yes,linknet,resnet50,0,100,8
yes,linknet,xception,0,100,4
yes,linknet,inceptionv4,0,100,4
yes,linknet,vgg11,0,100,8
yes,linknet,vgg16,0,100,8
yes,pspnet,resnet50,0,100,8
yes,pspnet,xception,0,100,8
yes,pspnet,inceptionv4,0,100,8
yes,pspnet,vgg11,0,100,8
yes,pspnet,vgg16,0,100,8
yes,fpn,resnet18,0,100,16
yes,fpn,resnet34,0,100,8
yes,fpn,se_resnet50,0,100,4
yes,fpn,densenet121,0,100,4
yes,fpn,densenet169,0,100,4
yes,fpn,mobilenet_v2,0,100,4
yes,unet,resnet18,0,100,16
yes,unet,resnet34,0,100,8
yes,unet,se_resnet50,0,100,4
yes,unet,densenet121,0,100,4
yes,unet,densenet169,0,100,4
yes,unet,mobilenet_v2,0,100,4
